arrival_time,event_time,updateId
1692440165509.41,1692440164847,3180680231041
1692440165511.4124,1692440164847,3180680231080
1692440165513.411,1692440164848,3180680231134
1692440165514.4104,1692440164848,3180680231222
1692440165516.4111,1692440164852,3180680231356
1692440165518.4128,1692440164855,3180680231447
1692440165536.9802,1692440164877,3180680232363
1692440165594.3247,1692440164930,3180680233622
1692440165595.3264,1692440164930,3180680233725
1692440165596.325,1692440164934,3180680233849
1692440165599.3245,1692440164940,3180680234149
1692440165603.3267,1692440164942,3180680234327
1692440165605.3247,1692440164944,3180680234423
1692440165609.3284,1692440164949,3180680234813
1692440165611.3252,1692440164949,3180680234814
1692440165613.3267,1692440164951,3180680234880
1692440165615.3064,1692440164951,3180680234906
1692440165616.328,1692440164955,3180680235263
1692440165623.3267,1692440164963,3180680236927
1692440165626.3298,1692440164965,3180680237434
1692440165628.327,1692440164967,3180680237677
1692440165640.3313,1692440164971,3180680238028
1692440165642.3289,1692440164971,3180680238188
1692440165644.3298,1692440164972,3180680238258
1692440165646.3298,1692440164972,3180680238348
1692440165647.3313,1692440164972,3180680238421
1692440165649.3276,1692440164972,3180680238436
1692440165650.3271,1692440164974,3180680238575
1692440165651.332,1692440164974,3180680238598
1692440165652.328,1692440164974,3180680238672
1692440165654.331,1692440164974,3180680238703
1692440165655.3286,1692440164974,3180680238708
1692440165657.3193,1692440164974,3180680239081
1692440165658.3306,1692440164974,3180680239347
1692440165660.331,1692440164976,3180680239879
1692440165661.333,1692440164976,3180680239932
1692440165662.3286,1692440164976,3180680239969
1692440165664.3284,1692440164977,3180680240100
1692440165665.332,1692440164977,3180680240161
1692440165666.3293,1692440164978,3180680240234
1692440165667.3323,1692440164978,3180680240270
1692440165668.3328,1692440164978,3180680240330
1692440165669.3289,1692440164979,3180680240980
1692440165774.9219,1692440164982,3180680241400
1692440165801.8086,1692440164982,3180680241712
1692440165803.8088,1692440164982,3180680241837
1692440165805.81,1692440164982,3180680241863
1692440165810.797,1692440164982,3180680241931
1692440165811.8118,1692440164983,3180680242056
1692440165817.8118,1692440164984,3180680242439
1692440165819.8115,1692440164987,3180680242857
1692440165820.8142,1692440164988,3180680243407
1692440165821.8103,1692440164989,3180680244180
1692440165822.81,1692440164991,3180680244206
1692440165823.8123,1692440164991,3180680244254
1692440165824.8127,1692440164991,3180680244313
1692440165825.8118,1692440164991,3180680244408
1692440165826.8132,1692440164991,3180680244411
1692440165827.8125,1692440164991,3180680244426
1692440165828.8115,1692440164991,3180680244489
1692440165829.8123,1692440164991,3180680244617
1692440165830.8108,1692440164991,3180680244654
1692440165830.8108,1692440164993,3180680244779
1692440165831.8125,1692440164993,3180680244994
1692440165832.8137,1692440164995,3180680245066
1692440165833.816,1692440164996,3180680245110
1692440165834.816,1692440164996,3180680245172
1692440165835.8113,1692440164996,3180680245176
1692440165836.8115,1692440164996,3180680245208
1692440165837.7925,1692440164996,3180680245213
1692440165837.7925,1692440164996,3180680245230
1692440165838.8113,1692440164996,3180680245317
1692440165840.816,1692440164996,3180680245372
1692440165841.8157,1692440164996,3180680245381
1692440165842.8145,1692440164996,3180680245447
1692440165843.812,1692440164996,3180680245456
1692440165843.812,1692440164996,3180680245464
1692440165844.814,1692440164996,3180680245478
1692440165845.8137,1692440164996,3180680245517
1692440165846.7942,1692440164996,3180680245519
1692440165846.7942,1692440164996,3180680245539
1692440165848.8137,1692440164996,3180680245550
1692440165849.818,1692440164996,3180680245593
1692440165849.818,1692440164996,3180680245603
1692440165850.815,1692440164996,3180680245615
1692440165851.8125,1692440164996,3180680245621
1692440165852.8157,1692440164996,3180680245700
1692440165853.8132,1692440164996,3180680245706
1692440165853.8132,1692440164996,3180680245734
1692440165854.815,1692440164996,3180680245801
1692440165855.8162,1692440164996,3180680245844
1692440165855.8162,1692440164998,3180680246092
1692440165856.8127,1692440164998,3180680246096
1692440165857.813,1692440164998,3180680246614
1692440165858.8154,1692440165005,3180680246863
1692440165859.815,1692440165005,3180680247184
1692440165859.815,1692440165005,3180680247262
1692440165860.8142,1692440165006,3180680247463
1692440165861.817,1692440165006,3180680247520
1692440165862.8167,1692440165006,3180680247641
1692440165863.815,1692440165007,3180680247700
1692440165863.815,1692440165010,3180680248168
1692440165864.8132,1692440165010,3180680248233
1692440165865.8137,1692440165010,3180680248309
1692440165865.8137,1692440165010,3180680248390
1692440165866.8147,1692440165012,3180680248466
1692440165867.8154,1692440165012,3180680248516
1692440165868.816,1692440165012,3180680248583
1692440165869.8164,1692440165013,3180680248752
1692440165870.8142,1692440165014,3180680248940
1692440165870.8142,1692440165015,3180680249001
1692440165871.8142,1692440165015,3180680249049
1692440165872.815,1692440165022,3180680249984
1692440165874.8152,1692440165027,3180680250551
1692440165875.818,1692440165027,3180680250555
1692440165876.8157,1692440165027,3180680250651
1692440165876.8157,1692440165029,3180680250812
1692440165877.8147,1692440165029,3180680250861
1692440165877.8147,1692440165029,3180680250946
1692440165878.839,1692440165035,3180680251298
1692440165879.839,1692440165035,3180680251373
1692440165879.839,1692440165037,3180680251495
1692440165880.8408,1692440165037,3180680251570
1692440165881.8408,1692440165040,3180680251914
1692440165882.844,1692440165055,3180680253871
1692440165882.844,1692440165057,3180680254085
1692440165883.84,1692440165059,3180680254462
1692440165884.8396,1692440165060,3180680254895
1692440165884.8396,1692440165060,3180680254907
1692440165885.8396,1692440165061,3180680255132
1692440165885.8396,1692440165061,3180680255136
1692440165886.8396,1692440165061,3180680255293
1692440165887.8396,1692440165061,3180680255314
1692440165889.0212,1692440165061,3180680255397
1692440165889.542,1692440165061,3180680255452
1692440165890.5894,1692440165063,3180680255541
1692440165891.589,1692440165063,3180680255593
1692440165891.589,1692440165064,3180680255746
1692440165891.589,1692440165064,3180680255923
1692440165893.1208,1692440165064,3180680255992
1692440165894.146,1692440165064,3180680255993
1692440165895.1462,1692440165064,3180680256086
1692440165896.1475,1692440165064,3180680256125
1692440165897.1467,1692440165064,3180680256201
1692440165898.1467,1692440165065,3180680256375
1692440165898.1467,1692440165065,3180680256470
1692440165899.146,1692440165065,3180680256492
1692440165899.146,1692440165065,3180680256590
1692440165900.1472,1692440165067,3180680256626
1692440165901.1465,1692440165067,3180680256684
1692440165902.1477,1692440165067,3180680256694
1692440165902.1477,1692440165067,3180680256710
1692440165903.1497,1692440165067,3180680256715
1692440165904.1497,1692440165067,3180680256765
1692440165905.1484,1692440165067,3180680256892
1692440165905.1484,1692440165067,3180680256950
1692440165907.1465,1692440165069,3180680257085
1692440165907.1465,1692440165069,3180680257133
1692440165908.146,1692440165070,3180680257348
